headline,published,ticker
"Месторождения ""Роснефти"" и ""Татнефти"" лидировали по приросту запасов нефти в 2023 г - ГКЗ",2024-01-25 07:25:00,ROSN
"""Татнефть"" зарегистрировала третий климатический проект",2024-01-25 07:45:49,TATNP
"""Татнефть"" зарегистрировала третий климатический проект",2024-01-25 07:45:49,TATN
«Сбер» оценил эффект от ужесточения условий по льготной ипотеке,2024-01-25 08:00:14,SBER
"Прирост запасов газа на Малыгинском месторождении в 2023 г составил 187,9 млрд кубов - ГКЗ",2024-01-25 08:10:05,GAZP
В центре Москвы модернизировали крупный газорегуляторный пункт,2024-01-25 08:23:21,MRKP
В центре Москвы модернизировали крупный газорегуляторный пункт,2024-01-25 08:23:21,MRKC
«Диасофт» рассматривает возможность выйти на IPO в первом полугодии 2024 года - Ведомости,2024-01-25 08:40:00,DIAS
"Пожар произошел на Туапсинском НПЗ Роснефти 25 янв, возгорание ликвидировано",2024-01-25 08:43:48,ROSN
Bloomberg: ЕС планирует удвоить производство электроэнергии к 2050 году,2024-01-25 08:48:57,OGKB
Проблем с бензином на Кубани после пожара на Туапсинском НПЗ не будет - эксперт,2024-01-25 08:56:34,ROSN
"Новак: Россия быстро наращивает экспорт газа в Китай по ""Силе Сибири""",2024-01-25 09:04:04,MRKS
«Коммерсантъ» узнал сроки восстановления терминала НОВАТЭКа после пожара,2024-01-25 09:06:19,NVTK
"Новак заявил о выполнении технико-экономического анализа строительства ""Силы Сибири - 2""",2024-01-25 09:07:36,MRKS
"Чистая прибыль банка ""Санкт-Петербург"" по РСБУ в 2023 г выросла на 2,2% - до 48,7 млрд руб",2024-01-25 09:28:00,BSPB
Сбер планирует подать иск о банкротстве мужа Блиновской,2024-01-25 09:52:11,SBER
Сбер планирует подать иск о банкротстве мужа Блиновской,2024-01-25 09:52:11,SBERP
ММК ОПЕРАЦИОННЫЕ РЕЗУЛЬТАТЫ ГРУППЫ ЗА 4 КВАРТАЛ И 12 МЕСЯЦЕВ 2023 Г.,2024-01-25 10:10:00,MAGN
Задействованные в перевозке из Китая модулей для Арктик СПГ-2 два судна снова направляются в Мурманск — данные LSEG,2024-01-25 10:33:15,NVTK
"""Софтлайн"" может направить на программы мотивации сотрудников около 6% акций",2024-01-25 10:36:00,SOFL
"ТГК-1 в 2023 г снизила выработку электроэнергии на 0,3%, до 29,7 млрд кВт.ч",2024-01-25 10:47:21,TGKA
Нефтепровод КТК в Краснодарском крае работает штатно после землетрясения,2024-01-25 10:49:28,LKOH
Henderson сохраняет рекомендацию по дивидендам-2023 не менее 25 рублей на акцию,2024-01-25 10:50:57,HNFG
Polymetal в Астане оживился,2024-01-25 11:01:00,POLY
"Сроки строительства ""Силы Сибири 2"" обозначат после подписания соглашений с КНР - Новак",2024-01-25 12:01:45,GAZP
"""Газпром"" запустил две гелиевые установки Амурского ГПЗ без участия западного лицензиара",2024-01-25 12:06:06,SIBN
"""Газпром"" запустил две гелиевые установки Амурского ГПЗ без участия западного лицензиара",2024-01-25 12:06:06,GAZP
"HENDERSON ПОДТВЕРДИЛ ГОТОВНОСТЬ ВЫПЛАТИТЬ ДИВИДЕНДЫ-2023, РАССЧИТЫВАЕТ НАПРАВИТЬ НЕ МЕНЕЕ 25 РУБ./АКЦИЯ - ИНТЕРФАКС",2024-01-25 12:10:00,HNFG
Henderson нарастил выручку в 23г на 35%,2024-01-25 12:18:47,HNFG
Ритейлер Henderson заявил о планах выплатить свои первые дивиденды,2024-01-25 12:19:00,HNFG
Украина опровергла готовность к продлению транзита российского газа,2024-01-25 12:27:20,GAZP
"На Урале завершили строительство ж/д инфраструктуры ОЭЗ ""Титановая долина""",2024-01-25 12:40:20,MRKU
TotalEnergies покупает одного из ведущих производителей систем накопления энергии в ФРГ,2024-01-25 12:46:00,RKKE
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,MRKU
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,MRKP
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,MRKC
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,FEES
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,MRKZ
"""Россети Северный Кавказ"" взыскали с должников в КЧР около 144 млн рублей в 2023 году",2024-01-25 13:12:51,MSRS
РФ продолжает переориентацию экспорта газа на новые рынки с акцентом на страны АТР - Новак,2024-01-25 13:45:29,GAZP
"Более 10 тыс автомобилей в РФ в 2023 г переведены на метан в рамках проекта ""Газпрома""",2024-01-25 13:51:47,GAZP
"Бенефициарами нового собственника ""МТС Армения"" являются инвесторы Чжан и Соколов",2024-01-25 14:09:44,MTSS
"Perenco отказалась от вхождения в проект в Камеруне с участием ""Лукойла""",2024-01-25 14:19:19,LKOH
"""Силмаш"" и ОГК-2 ведут переговоры об условиях расторжения договора по Сургутской ГРЭС-1",2024-01-25 14:28:36,OGKB
"Прирост запасов ""Газпрома"" 19-й год подряд превысил объем добычи",2024-01-25 14:43:00,SIBN
"Прирост запасов ""Газпрома"" 19-й год подряд превысил объем добычи",2024-01-25 14:43:00,GAZP
"""Т Плюс"" назначила Александра Харитонова из ""Сегежи"" замгендиректора по коммерции",2024-01-25 14:47:41,SGZH
"""Юнипро"" за 2023 год увеличило выработку электроэнергии на 4,8%, до 56,5 млрд кВт.ч",2024-01-25 14:57:35,UPRO
В Тюменской области открылось первое на Урале производство гибких полимерных труб,2024-01-25 15:08:47,MRKU
"Акционеры ""СПБ биржи"" на общем собрании передали функции совета директоров правлению",2024-01-25 15:32:05,SPBE
"""Узбекнефтегаз"" привлек специалистов ""Татнефти"" для роста эффективности геологоразведки",2024-01-25 15:37:15,TATNP
"""Узбекнефтегаз"" привлек специалистов ""Татнефти"" для роста эффективности геологоразведки",2024-01-25 15:37:15,TATN
"Калужский завод ""Кристалл"" перенес IPO на Мосбирже на февраль",2024-01-25 15:41:11,KLSB
"""Роснефть"" вкладывает более 1 млрд рублей ежегодно в образование и работу с молодежью",2024-01-25 15:55:15,ROSN
"""Газпром"" 26 января начнет второй раунд замещения евробондов-2025 в евро",2024-01-25 16:13:00,SIBN
"""Газпром"" 26 января начнет второй раунд замещения евробондов-2025 в евро",2024-01-25 16:13:00,GAZP
Путин: Роснефть планирует построить в Индии завод — ИФ,2024-01-25 16:29:19,ROSN
"Сотрудники ""Норникеля"" получили первые ""цифровые дивиденды"" - ""Атомайз""",2024-01-25 17:10:02,GMKN
Роснефть планирует расширять присутствие на индийском рынке - Путин,2024-01-25 17:26:00,ROSN
"""Новатэк"" может начать отгрузку СПГ с ""Арктик СПГ - 2"" в феврале 2024 года",2024-01-25 17:30:57,NVTK
Новатэк может завершить ремонт на комплексе в Усть-Луге в короткие сроки--источники,2024-01-25 17:31:45,NVTK
"Группа ММК за 2023 год нарастила производство стали на 11,1% - до 12,99 млн тонн",2024-01-25 17:52:18,MAGN
"Проект с участием ""ЛУКОЙЛа"" в Камеруне начал разработку нового плана развития",2024-01-25 17:55:00,LKOH
"Поставщик ПО для финсектора ""Диасофт"" наметил IPO на ""Мосбирже""",2024-01-25 18:22:00,DIAS
"""МТС AI"" возглавил выходец из VK Калинин",2024-01-25 18:24:00,MTSS
"Тариф на прокачку нефти ""Роснефти"" по Тихорецк-Туапсе-2 могут повысить на 11%",2024-01-25 18:45:00,ROSN
Рынок акций РФ в четверг просел во главе с Ozon,2024-01-25 18:59:00,OZON
"В КБР долги предприятий ЖКХ за электроэнергию превысили 1,9 млрд рублей",2024-01-25 19:00:16,OGKB
"Первая партия СПГ с ""Арктик СПГ 2"" ожидается в феврале - Новак",2024-01-25 20:30:05,NVTK
Новак: ситуация на Нижегородском НПЗ не дестабилизировала топливный рынок РФ,2024-01-25 20:35:00,LKOH
"Новак заверил, что рост цен на бензин в оптовом сегменте не угрожает ценам на АЗС",2024-01-25 20:50:00,OGKB
"Инвестбанк ""Синара"" исключил Северсталь и X5 из ""Модельного портфеля акций РФ"", добавил в состав НЛМК",2024-01-26 06:08:00,FIVE
"Инвестбанк ""Синара"" исключил Северсталь и X5 из ""Модельного портфеля акций РФ"", добавил в состав НЛМК",2024-01-26 06:08:00,NLMK
"Инвестбанк ""Синара"" исключил Северсталь и X5 из ""Модельного портфеля акций РФ"", добавил в состав НЛМК",2024-01-26 06:08:00,CHMF
США и Франция попали в топ-5 по объему внешнеторгового оборота на Урале,2024-01-26 07:38:06,MRKU
Презентация Investor day Henderson 2024. Темпы роста + раскрыты предварительные финансовые результаты 2023 года.,2024-01-26 07:53:00,HNFG
"Путин поручил кабмину и ""Роснефти"" подготовить предложения по проектам в области генетики",2024-01-26 08:02:27,ROSN
"В Литве заявили, что будут обеспечивать себя электроэнергией с 2027 года",2024-01-26 08:20:49,OGKB
МТС создала собственное конструкторское бюро для разработки электроники для автопрома,2024-01-26 09:31:30,MTSS
Новак: Первый танкер с Арктик СПГ-2 планируется отправить в феврале — ИФ,2024-01-26 09:40:36,NVTK
Добыча Газпрома в 23г снизилась на 9% до 404 млрд куб — Коммерсант,2024-01-26 10:12:16,GAZP
"""Роснефть"" подала встречный иск к ""Транснефти"" на 6,1 млрд рублей",2024-01-26 11:15:00,ROSN
"""Роснефть"" подала встречный иск к ""Транснефти"" на 6,1 млрд рублей",2024-01-26 11:15:00,TRNFP
"Индекс МосБиржи поднялся к 3170 пунктам во главе с бумагами ""Яндекса""",2024-01-26 11:43:00,YNDX
"""КАМАЗ"" в 2023 году увеличил продажи автобусов и электробусов почти до 2 тыс.",2024-01-26 12:00:00,KMAZ
"""Камаз"" в 2023 г увеличил продажи пассажирского транспорта на 25% - почти до 2 тыс единиц",2024-01-26 12:03:20,KMAZ
Инвестиции Сургутнефтегаза в экологию за 5 лет составили 154 млрд руб - Богданов,2024-01-26 12:17:00,SNGS
Инвестиции Сургутнефтегаза в экологию за 5 лет составили 154 млрд руб - Богданов,2024-01-26 12:17:00,SNGSP
"""Магнит"" собирается запустить свой маркетплейс ""Магнит Маркет"" в первой половине 2024 г - ПРАЙМ",2024-01-26 12:36:00,MGNT
ДОБЫЧА СУРГУТНЕФТЕГАЗА В 2024Г БУДЕТ НА УРОВНЕ 2023Г - БОГДАНОВ,2024-01-26 13:01:00,SNGS
ДОБЫЧА СУРГУТНЕФТЕГАЗА В 2024Г БУДЕТ НА УРОВНЕ 2023Г - БОГДАНОВ,2024-01-26 13:01:00,SNGSP
Казахстан сохранит стоимость транзита российской нефти в Китай до 34г,2024-01-26 13:09:17,TRNFP
Ренессанс Капитал изменил рекомендацию по BELU,2024-01-26 13:29:13,BELU
"Верховный суд РФ поддержал арест активов Credit Agricole в споре с НПЗ ""Газпром нефти""",2024-01-26 13:40:17,SIBN
"Верховный суд РФ поддержал арест активов Credit Agricole в споре с НПЗ ""Газпром нефти""",2024-01-26 13:40:17,GAZP
"В ""Сургутнефтегазе"" считают подспорьем включение двух районов ХМАО в зону Арктики",2024-01-26 13:55:00,SNGS
"В ""Сургутнефтегазе"" считают подспорьем включение двух районов ХМАО в зону Арктики",2024-01-26 13:55:00,SNGSP
"""Казтрансойл"" сохранит стоимость транзита российской нефти в Китай до 2034 г",2024-01-26 13:57:47,ROSN
Туапсинский НПЗ Роснефти остановил переработку нефти 25 янв после пожара--источники,2024-01-26 13:58:17,ROSN
Биржевая стоимость бензина в России в пятницу выросла почти на 2%,2024-01-26 14:05:31,MTSS
"""Яндекс ID"" предотвратил 50 млн подозрительных попыток входа в аккаунты в 2023 г",2024-01-26 14:11:23,YNDX
"""Северсталь"" планирует досрочно достичь цели проекта ""Чистый воздух"" в Череповце",2024-01-26 14:20:06,CHMF
"Включение районов ХМАО в зону Арктики поможет ""Сургутнефтегазу"" в разработке ТРИЗ – глава",2024-01-26 14:33:20,SNGS
"Включение районов ХМАО в зону Арктики поможет ""Сургутнефтегазу"" в разработке ТРИЗ – глава",2024-01-26 14:33:20,SNGSP
"""ЛУКОЙЛ"" увеличил долю в ""ЭЛ5-Энерго"" до 63,84%",2024-01-26 14:52:00,LKOH
"ЧТПЗ разместил облигации для замещения своих евробондов на $261,5 млн",2024-01-26 15:09:50,TRMK
"Спрос на облигации ""Совкомбанк факторинга"" превысил предложение в четыре раза",2024-01-26 15:11:49,SVCB
"""Сургутнефтегаз"" в 2024 г сохранит добычу нефти на уровне 2023 г - глава компании",2024-01-26 15:44:39,SNGS
"""Сургутнефтегаз"" в 2024 г сохранит добычу нефти на уровне 2023 г - глава компании",2024-01-26 15:44:39,SNGSP
Сибур может снизить экспорт СУГ из Усть-Луги в 24г из-за нехватки газовозов,2024-01-26 16:00:26,FLOT
"Сбер планирует запустить ""зеленую"" ипотеку в первом полугодии 2024 года",2024-01-26 16:00:45,SBER
"Сбер планирует запустить ""зеленую"" ипотеку в первом полугодии 2024 года",2024-01-26 16:00:45,SBERP
"Нейросеть ""Сбера"" обогнала ChatGPT по качеству ответов на английском",2024-01-26 16:18:41,SBER
"Нейросеть ""Сбера"" обогнала ChatGPT по качеству ответов на английском",2024-01-26 16:18:41,SBERP
Шохин призвал объединить информационные ресурсы с мерами поддержки бизнеса,2024-01-26 16:39:44,UNAC
"РФ снизит экспорт нафты на 15.000-16.000 т/сут после пожаров на НПЗ в Усть-Луге и Туапсе--источники, LSEG",2024-01-26 16:45:44,ROSN
"РФ снизит экспорт нафты на 15.000-16.000 т/сут после пожаров на НПЗ в Усть-Луге и Туапсе--источники, LSEG",2024-01-26 16:45:44,NVTK
"Суд в Москве обязал Google вернуть мобильное приложение ""2ГИС"" в магазин Google Play",2024-01-26 16:46:31,SBER
"Суд в Москве обязал Google вернуть мобильное приложение ""2ГИС"" в магазин Google Play",2024-01-26 16:46:31,SBERP
"Полюс разместил дебютный выпуск ""золотых"" облигаций на 15 млрд р под 3,1%",2024-01-26 17:25:28,PLZL
Между Ленинградской и Калужской областями планируют создать автопромышленный кластер,2024-01-26 17:43:59,KLSB
"МосБиржа допустила акции ""Делимобиля"" к торгам с 6 февраля",2024-01-26 18:22:00,DELI
Председатель ЕК уверена в правильности ставки на возобновляемые источники энергии,2024-01-26 18:22:00,RKKE
КАМАЗ объяснил рост числа жалоб на импортозамещенный премиум-грузовик,2024-01-26 18:30:39,KMAZ
"""Алроса"" оценивает первые инвестиции в рудник ""Мир"" на уровне $1,8-2 млрд",2024-01-26 18:38:12,ALRS
Суд принял иск к МТС на $1 млрд из-за вечеринки Ивлеевой,2024-01-26 18:39:27,MTSS
"Биржевые цены на газ в Европе снизились на 0,4%, до $311 за тыс кубометров - ICE",2024-01-26 20:30:55,GAZP
"Совет директоров ""Диасофта"" рассматривает вопрос об обращении за листингом",2024-01-26 20:36:00,DIAS
В единой агломерации городов Свободного и Циолковского планируют построить Центр инноваций,2024-01-27 01:01:41,MRKP
В единой агломерации городов Свободного и Циолковского планируют построить Центр инноваций,2024-01-27 01:01:41,MRKC
Ангола попросила Россию выйти из проекта по добыче алмазов из-за санкций,2024-01-27 03:23:48,ALRS
В ЦИАН отметили подорожание квадратного метра на вторичном рынке жилья за год на 13% - ТАСС,2024-01-27 05:41:00,CIAN
Росатом намерен кратно увеличить атомную генерацию на Урале к 2040-м годам,2024-01-27 10:05:31,MRKU
"Интер РАО"" обновило 3 блока ГРЭС - в Костромской области, Пермском крае и Бурятии",2024-01-27 10:10:12,IRAO
Интер РАО завершила модернизацию трех объектов общей мощностью 1390 МВт - ИНТЕРФАКС,2024-01-27 10:16:00,IRAO
Новак назвал минимальный срок ремонта на нижегородском заводе ЛУКОЙЛа,2024-01-27 11:22:14,LKOH
"Новак оценил сроки восстановления НПЗ Лукойла минимум в 1-1,5 месяца — ТАСС",2024-01-27 12:21:42,LKOH
"«Роснефть» подала к «Транснефти» встречный иск на ₽6,1 млрд",2024-01-27 12:22:44,ROSN
"Глава ""Газпром нефти"" заявил, что факторы указывают на рост спроса на нефть",2024-01-27 13:02:00,SIBN
"Глава ""Газпром нефти"" заявил, что факторы указывают на рост спроса на нефть",2024-01-27 13:02:00,GAZP
"""Интер РАО"" в 2023 году экспортировала в Казахстан рекордные 4,7 млрд кВт·ч электроэнергии",2024-01-27 13:03:07,IRAO
"""Интер РАО"" в 2023 году экспортировала в Казахстан рекордные 4,7 млрд кВт·ч электроэнергии",2024-01-27 13:03:07,OGKB
Минэнерго РФ будет настаивать на штрафах за отказ компаний от проектов модернизации,2024-01-27 14:02:31,OGKB
«Роснефть» назвала объем выплаченных налогов в 2023 году,2024-01-27 14:14:34,ROSN
"""Газпром нефть"" в 2023 году увеличила добычу углеводородов",2024-01-27 14:32:00,SIBN
"""Газпром нефть"" в 2023 году увеличила добычу углеводородов",2024-01-27 14:32:00,GAZP
Дюков не увидел необходимости в новых ограничениях на экспорт топлива,2024-01-27 14:37:35,SIBN
"ГАЗПРОМ НЕФТЬ УВЕЛИЧИЛА ДОБЫЧУ УГЛЕВОДОРОДОВ В 2023Г, НА 2024Г ТОЖЕ ЗАПЛАНИРОВАН РОСТ - ДЮКОВ - ИНТЕРФАКС",2024-01-27 14:59:00,SIBN
"ГАЗПРОМ НЕФТЬ УВЕЛИЧИЛА ДОБЫЧУ УГЛЕВОДОРОДОВ В 2023Г, НА 2024Г ТОЖЕ ЗАПЛАНИРОВАН РОСТ - ДЮКОВ - ИНТЕРФАКС",2024-01-27 14:59:00,GAZP
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,MRKU
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,MRKP
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,MRKC
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,FEES
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,MRKZ
"""Россети"" за шесть лет вдвое увеличили ежегодные инвестиции в модернизацию инфраструктуры",2024-01-27 15:54:31,MSRS
В Тамбовской области построят крупный логистический центр Х5,2024-01-27 16:36:16,MRKP
В Тамбовской области построят крупный логистический центр Х5,2024-01-27 16:36:16,MRKC
ИНТЕР РАО НАДЕЕТСЯ НА СОХРАНЕНИЕ ЭКСПОРТА ЭЛЕКТРОЭНЕРГИИ ИЗ РФ В 2024Г НА УРОВНЕ 2023Г - ПРЕДСТАВИТЕЛЬ КОМПАНИИ - ИНТЕРФАКС,2024-01-27 16:54:00,IRAO
ИНТЕР РАО НАДЕЕТСЯ НА СОХРАНЕНИЕ ЭКСПОРТА ЭЛЕКТРОЭНЕРГИИ ИЗ РФ В 2024Г НА УРОВНЕ 2023Г - ПРЕДСТАВИТЕЛЬ КОМПАНИИ - ИНТЕРФАКС,2024-01-27 16:54:00,OGKB
Роснефть в 23г добыла рекордные 106 млрд куб м газа,2024-01-27 20:29:36,ROSN
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,MRKU
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,MRKP
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,MRKC
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,FEES
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,MRKZ
"Инвестпрограмма ""Россетей"" в 2023 году превысила 528 млрд руб. - ИНТЕРФАКС",2024-01-27 22:51:00,MSRS
Минэнерго: поставки газа на рынок РФ в 2023 г составили 501 млрд кубов,2024-01-27 23:23:40,GAZP
В Российском экспортном центре увидели огромные возможности для поставок в Китай,2024-01-28 03:27:52,MRKP
В Российском экспортном центре увидели огромные возможности для поставок в Китай,2024-01-28 03:27:52,MRKC
"""Газпром"" подает газ для Европы через Украину в объеме 42 млн куб. м через ""Суджу""",2024-01-28 06:57:45,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 42 млн куб. м через ""Суджу""",2024-01-28 06:57:45,GAZP
"Глава ""Новатэк"" заявил, что станция ""Восток"" в Антарктиде стала самой современной в мире",2024-01-28 12:09:34,NVTK
Премьер Монголии сообщил о затягивании переговоров по «Силе Сибири — 2»,2024-01-28 14:12:16,GAZP
"Сколько ""стоит"" магазин Магнита и удельная EBITDA в сравнении с Х5 Group",2024-01-28 15:17:00,MGNT
Премьер Монголии: Россия и Китай пока не договорились по «Силе Сибири — 2» - РБК,2024-01-29 03:16:00,MRKS
"В Toyota Motor заявили, что действия хуситов не повлияли на экспорт автомобилей корпорации",2024-01-29 05:11:15,UNAC
Шульгинов: всплеска цен на электроэнергию после запуска рынка на Дальнем Востоке не будет,2024-01-29 05:32:36,OGKB
"""Ростелеком"" построил резервную линию связи для северных районов Коми",2024-01-29 07:19:46,RTKM
"""Ростелеком"" построил резервную линию связи для северных районов Коми",2024-01-29 07:19:46,RTKMP
"Акции Polymetal на Мосбирже росли на 1,4%",2024-01-29 07:22:02,POLY
"Акции агрохолдинга ""Русагро"" на Мосбирже росли на 2,8%",2024-01-29 07:42:29,AGRO
"ГРУППА ИСТ ПРОДАЛА 23,9% POLYMETAL ОМАНСКОЙ КОМПАНИИ - POLYMETAL",2024-01-29 07:43:00,POLY
"Золотодобывающая компания ""Полюс"" готовит выпуск уникальных облигаций - СМИ",2024-01-29 07:48:40,PLZL
"В ""Русгидро"" заявили о заинтересованности в проекте по строительству Крапивинской ГЭС",2024-01-29 08:19:14,HYDR
"ДИАПАЗОН ЦЕНЫ РАЗМЕЩЕНИЯ ДЕЛИМОБИЛЯ В РАМКАХ IPO СООТВЕТСТВУЕТ КАПИТАЛИЗАЦИИ 39,2-42,4 МЛРД РУБ. ДО ДОПЭМИССИИ",2024-01-29 09:22:00,DELI
"""Делимобиль"" оценен для IPO в 39,2-42,4 млрд руб. до допэмиссии",2024-01-29 09:53:00,DELI
Polymetal сменил основного акционера,2024-01-29 09:53:27,POLY
"""Газпром"" подает газ через Украину на ГИС ""Суджа"", 42,4 млн кубометров на 29 января",2024-01-29 09:57:15,GAZP
"ГК ""РУСАГРО"" В IV КВАРТАЛЕ 2023 Г. УВЕЛИЧИЛА ВЫРУЧКУ ПОЧТИ В 1,8 РА3ЗА, ДО 122, 462 МЛРД РУБ. - КОМПАНИ - ИНТЕРФАКС",2024-01-29 10:03:00,AGRO
"ГК ""Русагро"" в IV квартале увеличила выручку почти в 1,8 раза",2024-01-29 10:08:00,AGRO
МТС получил госаккредитацию для работы с биометрией,2024-01-29 10:19:17,MTSS
ВТБ назвал 2023 год переломным в борьбе с мошенниками,2024-01-29 10:38:19,VTBR
Мощная выручка до элиминаций РУСАГРО в 4-м квартале,2024-01-29 10:52:00,AGRO
"""Русгидро"" в 2025 г определится с инвестициями в две противопаводковые ГЭС в ДФО",2024-01-29 11:00:00,HYDR
ФАС разрешила РусГидро обеспечить выделение электросетевых активов до 2025 г. - топ-менеджер - ИНТЕРФАКС,2024-01-29 11:00:00,HYDR
"Боррель заявил, что раньше страны Центральной Азии находились ""в глубокой глуши""",2024-01-29 11:03:00,CNTL
"Боррель заявил, что раньше страны Центральной Азии находились ""в глубокой глуши""",2024-01-29 11:03:00,CNTLP
"ФАС разрешила ""РусГидро"" обеспечить выделение электросетевых активов до 2025 г.",2024-01-29 11:09:00,HYDR
"ИнтерРАО снизила экспорт э/энергии в 23г на 21,3%",2024-01-29 11:12:11,IRAO
"Группа ИСТ Несиса продала 23,9% Polymetal консорциуму из Омана",2024-01-29 11:26:14,POLY
"На Украине допустили, что тарифы на электроэнергию вырастут вдвое в 2024 году",2024-01-29 11:39:50,OGKB
"""Русгидро"" работает над вопросом разделения активов на Дальнем Востоке - топ-менеджер",2024-01-29 12:20:12,HYDR
Цивилев: в Кузбассе открылся первый за Уралом центр профподготовки по горному делу,2024-01-29 12:29:07,MRKU
Цивилев: в Кузбассе открылся первый за Уралом центр профподготовки по горному делу,2024-01-29 12:29:07,MRKP
Цивилев: в Кузбассе открылся первый за Уралом центр профподготовки по горному делу,2024-01-29 12:29:07,MRKC
"""Фосагро"" проиндексирует зарплаты сотрудникам на 15%",2024-01-29 12:36:32,PHOR
На Украине начали отключать должников от электроэнергии после отмены моратория,2024-01-29 13:09:54,OGKB
Ozon запускает Premium banking - FrankMedia,2024-01-29 14:15:00,OZON
"Расширение Партизанской ГРЭС идет по графику, запуск блоков намечен на 2026 г - ""Русгидро""",2024-01-29 14:33:11,HYDR
Норникель в 24г ждет дальнейшего снижения производства никеля и палладия из-за сдвига ремонта,2024-01-29 15:33:27,GMKN
"Создание нефтяного резерва в РФ неактуально, но может пригодиться для Арктики - эксперт",2024-01-29 15:48:41,ROSN
"""Норникель"" прогнозирует выпуск металлов в среднесрочной перспективе на уровне 2023 года",2024-01-29 15:58:37,GMKN
"Кабмин РФ выдвинул для переизбрания в набсовет ""Сбера"" Чернышенко, Силуанова и Орешкина",2024-01-29 16:00:05,SBER
"Кабмин РФ выдвинул для переизбрания в набсовет ""Сбера"" Чернышенко, Силуанова и Орешкина",2024-01-29 16:00:05,SBERP
Правительство выдвинуло кандидатов в набсовет Сбербанка,2024-01-29 16:23:00,SBER
"На благоустройство пяти улиц в центре Уфы направят 1,5 млрд рублей в 2024 году",2024-01-29 16:31:21,MRKP
"На благоустройство пяти улиц в центре Уфы направят 1,5 млрд рублей в 2024 году",2024-01-29 16:31:21,MRKC
"Группа ""Черкизово"" в 2023 году увеличила выручку от экспорта продукции на 15%",2024-01-29 16:48:00,GCHE
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,MRKU
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,MRKP
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,MRKC
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,FEES
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,MRKZ
"В ""Россети Урал"" назвали причину вспышек в небе над Челябинском",2024-01-29 16:54:45,MSRS
"Российский рынок акций начал неделю с роста во главе с бумагами ""РусГидро""",2024-01-29 18:57:00,HYDR
"В ""Газпроме"" задумались об импортозамещении газомотокомпрессоров",2024-01-29 19:14:00,SIBN
"В ""Газпроме"" задумались об импортозамещении газомотокомпрессоров",2024-01-29 19:14:00,GAZP
В транскаспийский маршрут между Европой и Центральной Азией инвестируют 10 млрд евро,2024-01-29 20:28:00,CNTL
В транскаспийский маршрут между Европой и Центральной Азией инвестируют 10 млрд евро,2024-01-29 20:28:00,CNTLP
Под Воронежем импортозаместят производство светоотражающих пленок,2024-01-29 20:31:00,VRSB
"Совет директоров ""Диасофта"" обратится на ""Мосбиржу"" для получения листинга",2024-01-29 21:10:00,DIAS
"""Цифра брокер"" переводит российские бумаги клиентов с ""СПБ Биржи"" на Мосбиржу",2024-01-29 21:47:25,SPBE
СПБ БИРЖА ОПРОВЕРГЛА СООБЩЕНИЕ О ПРЕКРАЩЕНИИ ТОРГОВ РОССИЙСКИМИ БУМАГАМИ С 30 ЯНВАРЯ: ОНИ БУДУТ ПРОХОДИТЬ ПО РАСПИСАНИЮ - СПБ БИРЖА - ПРАЙМ,2024-01-29 22:35:00,SPBE
